LAT,LON,TIMESTAMP,RECORD,BattV_Avg,PTemp_C_Max,AirTF_Avg,RH,Rain_in_Tot,WS_mph_S_WVT,WindDir_D1_WVT,WindDir_SD1_WVT,SlrW_Avg,SlrMJ_Tot
-14.31,-170.77,2017-04-25 19:30:00,0.0,12.87,28.3,25.055555555555554,92.8,41.148,0.6924649599999999,77.27,17.53,0.13,5.46E-05
-14.31,-170.77,2017-04-25 19:45:00,1.0,12.91,26.65,25.09444444444445,92.1,0.0,1.1274348799999998,80.7,16.43,0.075,6.71E-05
-14.31,-170.77,2017-04-25 20:00:00,2.0,12.91,24.76,25.244444444444444,92.7,0.0,1.2999923199999999,78.61,14.69,0.058,5.25E-05
-14.31,-170.77,2017-04-25 20:15:00,3.0,12.91,24.37,25.25555555555555,92.4,0.0,0.78723744,74.49,12.38,0.036,3.28E-05
-14.31,-170.77,2017-04-25 20:30:00,4.0,12.91,24.26,24.95,92.7,0.0,0.34064447999999997,70.45,15.01,0.028,2.54E-05
-14.31,-170.77,2017-04-25 20:45:00,5.0,12.91,24.03,25.25555555555555,91.1,0.0,1.02863904,72.31,26.81,0.036,3.24E-05
-14.31,-170.77,2017-04-25 21:00:00,6.0,12.91,24.02,25.177777777777774,92.4,0.0,0.92850208,44.26,36.09,0.032,2.85E-05
-14.31,-170.77,2017-04-25 21:15:00,7.0,12.9,24.02,24.994444444444444,93.8,0.0,0.57489344,38.26,13.75,0.019,1.67E-05
-14.31,-170.77,2017-04-25 21:30:00,8.0,12.9,23.94,25.038888888888884,93.0,0.0,0.92671392,49.51,18.74,0.025,2.29E-05
-14.31,-170.77,2017-04-25 21:45:00,9.0,12.9,23.85,24.827777777777776,93.9,0.0,0.25123648000000004,49.33,13.43,0.023,2.06E-05
-14.31,-170.77,2017-04-25 22:00:00,10.0,12.9,23.71,24.838888888888885,92.6,0.0,0.49308512,62.01,13.66,0.029,2.62E-05
-14.31,-170.77,2017-04-25 22:15:00,11.0,12.9,23.58,25.06666666666667,92.7,0.0,0.74923904,50.08,32.12,0.02,1.82E-05
-14.31,-170.77,2017-04-25 22:30:00,12.0,12.9,23.67,25.18888888888889,91.9,0.0,1.29909824,64.02,24.16,0.025,2.25E-05
-14.31,-170.77,2017-04-25 22:45:00,13.0,12.89,23.8,25.144444444444446,93.4,0.0,1.02685088,49.13,13.15,0.016,1.48E-05
-14.31,-170.77,2017-04-25 23:00:00,14.0,12.89,23.8,24.87222222222222,93.4,0.0,0.58875168,51.11,12.08,0.026,2.37E-05
-14.31,-170.77,2017-04-25 23:15:00,15.0,12.89,23.67,24.850000000000005,93.9,0.0,0.70006464,55.17,26.81,0.026,2.33E-05
-14.31,-170.77,2017-04-25 23:30:00,16.0,12.89,23.56,24.88333333333334,92.1,0.0,0.78321408,34.38,26.62,0.027,2.39E-05
-14.31,-170.77,2017-04-25 23:45:00,17.0,12.89,23.5,24.833333333333332,93.2,0.0,0.63300864,45.55,17.83,0.016,1.47E-05
-14.31,-170.77,2017-04-26 00:00:00,18.0,12.89,23.44,24.72222222222222,94.0,0.0,0.5833872,40.23,18.12,0.021,1.89E-05
-14.31,-170.77,2017-04-26 00:15:00,19.0,12.89,23.35,24.73888888888889,94.0,0.0,0.72644,54.37,13.89,0.024,2.18E-05
-14.31,-170.77,2017-04-26 00:30:00,20.0,12.89,23.34,24.67222222222222,94.8,0.0,0.45955712,33.28,11.4,0.022,1.95E-05
-14.31,-170.77,2017-04-26 00:45:00,21.0,12.89,23.43,24.822222222222226,94.3,0.0,0.9575596799999999,58.19,14.05,0.026,2.33E-05
-14.31,-170.77,2017-04-26 01:00:00,22.0,12.88,23.58,24.944444444444446,96.2,0.0,0.92403168,28.34,12.41,0.019,1.67E-05
-14.31,-170.77,2017-04-26 01:15:00,23.0,12.88,23.78,24.95555555555556,96.4,0.0,1.2593116800000002,46.27,19.41,0.019,1.68E-05
-14.31,-170.77,2017-04-26 01:30:00,24.0,12.88,23.85,24.91111111111111,97.1,0.0,1.36481312,28.26,13.85,0.019,1.75E-05
