Station_ID,TIMESTAMP,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,LAT,LON,Elevation
,,Celsius,%,m/s,Degrees,-14.331,-170.7105,9
NSTU,2017-01-01T01:50:00-1100,28.2,81.88,3.6,60,-14.331,-170.7105,9
NSTU,2017-01-01T02:50:00-1100,27.7,83.79,1.54,,-14.331,-170.7105,9
NSTU,2017-01-01T03:51:00-1100,27.9,83.32,2.57,,-14.331,-170.7105,9
NSTU,2017-01-01T04:50:00-1100,28.3,83.86,4.12,60,-14.331,-170.7105,9
NSTU,2017-01-01T05:50:00-1100,27.7,83.29,1.54,,-14.331,-170.7105,9
NSTU,2017-01-01T07:51:00-1100,29.1,86.46,3.6,70,-14.331,-170.7105,9
NSTU,2017-01-01T08:50:00-1100,29.8,86.52,4.63,90,-14.331,-170.7105,9
NSTU,2017-01-01T09:51:00-1100,30.6,81.21,6.17,100,-14.331,-170.7105,9
NSTU,2017-01-01T10:50:00-1100,31.5,79.45,6.17,100,-14.331,-170.7105,9
NSTU,2017-01-01T11:50:00-1100,31.8,78.57,6.17,110,-14.331,-170.7105,9
NSTU,2017-01-01T13:52:00-1100,30.2,83.58,2.57,,-14.331,-170.7105,9
NSTU,2017-01-01T14:53:00-1100,31.4,79.44,5.14,90,-14.331,-170.7105,9
NSTU,2017-01-01T15:50:00-1100,31.3,79.43,5.66,100,-14.331,-170.7105,9
NSTU,2017-01-01T16:51:00-1100,30.7,79.34,5.66,100,-14.331,-170.7105,9
NSTU,2017-01-01T17:52:00-1100,29.5,83.99,4.63,100,-14.331,-170.7105,9
NSTU,2017-01-01T18:50:00-1100,29.1,84.44,3.6,100,-14.331,-170.7105,9
NSTU,2017-01-01T19:50:00-1100,28.3,91.08,2.06,,-14.331,-170.7105,9
NSTU,2017-01-01T20:50:00-1100,28.3,90.55,3.6,90,-14.331,-170.7105,9
NSTU,2017-01-01T21:50:00-1100,28.4,87.93,4.12,130,-14.331,-170.7105,9
NSTU,2017-01-01T22:52:00-1100,27.8,92.13,3.09,120,-14.331,-170.7105,9
NSTU,2017-01-01T23:50:00-1100,28,90.53,4.63,120,-14.331,-170.7105,9
NSTU,2017-01-02T00:52:00-1100,28.2,90.54,5.14,120,-14.331,-170.7105,9
NSTU,2017-01-02T01:53:00-1100,27.9,92.68,5.66,110,-14.331,-170.7105,9
NSTU,2017-01-02T02:52:00-1100,27.4,91.03,3.6,80,-14.331,-170.7105,9
NSTU,2017-01-02T03:50:00-1100,27.4,91.03,1.03,,-14.331,-170.7105,9
NSTU,2017-01-02T04:50:00-1100,26.8,92.62,0,0,-14.331,-170.7105,9
NSTU,2017-01-02T05:50:00-1100,26.5,93.71,1.03,,-14.331,-170.7105,9
NSTU,2017-01-02T06:50:00-1100,27.6,92.66,1.03,,-14.331,-170.7105,9
NSTU,2017-01-02T07:50:00-1100,29.8,83.53,4.63,110,-14.331,-170.7105,9
NSTU,2017-01-02T08:51:00-1100,30.6,82.65,5.14,100,-14.331,-170.7105,9
NSTU,2017-01-02T09:52:00-1100,30.3,83.1,5.66,100,-14.331,-170.7105,9
NSTU,2017-01-02T10:53:00-1100,30.7,79.34,5.14,90,-14.331,-170.7105,9
NSTU,2017-01-02T11:51:00-1100,30.4,77,4.12,70,-14.331,-170.7105,9
NSTU,2017-01-02T12:50:00-1100,29.7,79.21,5.66,90,-14.331,-170.7105,9
NSTU,2017-01-02T13:50:00-1100,30.8,80.29,4.63,100,-14.331,-170.7105,9
NSTU,2017-01-02T14:52:00-1100,31.2,76.22,4.63,100,-14.331,-170.7105,9
NSTU,2017-01-02T15:50:00-1100,30.1,81.15,4.12,100,-14.331,-170.7105,9
NSTU,2017-01-02T16:50:00-1100,30,82.1,3.09,90,-14.331,-170.7105,9
NSTU,2017-01-02T17:51:00-1100,29.5,82.04,4.12,100,-14.331,-170.7105,9
NSTU,2017-01-02T18:50:00-1100,28.9,83.93,4.63,110,-14.331,-170.7105,9
NSTU,2017-01-02T19:52:00-1100,28.8,83.42,5.14,90,-14.331,-170.7105,9
NSTU,2017-01-02T20:52:00-1100,28.6,83.89,2.06,,-14.331,-170.7105,9
NSTU,2017-01-02T21:52:00-1100,28.2,84.35,1.03,,-14.331,-170.7105,9
NSTU,2017-01-02T22:52:00-1100,27.8,84.81,1.54,,-14.331,-170.7105,9
NSTU,2017-01-02T23:50:00-1100,27.6,85.8,2.06,,-14.331,-170.7105,9
NSTU,2017-01-03T00:52:00-1100,27.7,85.81,0,0,-14.331,-170.7105,9
NSTU,2017-01-03T01:50:00-1100,27.5,87.86,1.54,,-14.331,-170.7105,9
NSTU,2017-01-03T02:40:00-1100,28,88.94,2.57,,-14.331,-170.7105,9
NSTU,2017-01-03T02:53:00-1100,27,92.63,2.06,,-14.331,-170.7105,9
NSTU,2017-01-03T03:51:00-1100,26.4,95.39,1.54,,-14.331,-170.7105,9
NSTU,2017-01-03T04:52:00-1100,26.4,95.95,2.06,,-14.331,-170.7105,9
NSTU,2017-01-03T05:52:00-1100,26.6,95.39,1.03,,-14.331,-170.7105,9
NSTU,2017-01-03T06:50:00-1100,27.4,92.65,4.12,140,-14.331,-170.7105,9
NSTU,2017-01-03T07:50:00-1100,29.6,85.5,3.09,,-14.331,-170.7105,9
NSTU,2017-01-03T08:50:00-1100,27,91,2.57,,-14.331,-170.7105,9
NSTU,2017-01-03T09:53:00-1100,31,84.16,4.63,100,-14.331,-170.7105,9
NSTU,2017-01-03T10:50:00-1100,31,78.92,5.66,100,-14.331,-170.7105,9
NSTU,2017-01-03T11:50:00-1100,31.6,79.93,4.12,90,-14.331,-170.7105,9
NSTU,2017-01-03T12:50:00-1100,31.5,78.99,5.14,110,-14.331,-170.7105,9
NSTU,2017-01-03T13:50:00-1100,31.5,77.62,5.66,110,-14.331,-170.7105,9
NSTU,2017-01-03T14:50:00-1100,31.8,75.87,4.63,110,-14.331,-170.7105,9
NSTU,2017-01-03T15:50:00-1100,30.6,78.87,5.14,100,-14.331,-170.7105,9
NSTU,2017-01-03T16:52:00-1100,30.7,78.88,4.12,90,-14.331,-170.7105,9
NSTU,2017-01-03T17:50:00-1100,30.1,80.2,4.63,110,-14.331,-170.7105,9
NSTU,2017-01-03T18:50:00-1100,29.2,82.49,4.63,110,-14.331,-170.7105,9
NSTU,2017-01-03T19:50:00-1100,29,84.93,3.6,120,-14.331,-170.7105,9
NSTU,2017-01-03T20:20:00-1100,28,83.83,2.06,50,-14.331,-170.7105,9
NSTU,2017-01-03T20:32:00-1100,27,88.86,2.06,,-14.331,-170.7105,9
NSTU,2017-01-03T20:50:00-1100,26.9,91.54,1.54,,-14.331,-170.7105,9
NSTU,2017-01-03T21:50:00-1100,27.5,93.76,4.63,120,-14.331,-170.7105,9
NSTU,2017-01-03T22:50:00-1100,28.1,90.54,3.6,120,-14.331,-170.7105,9
NSTU,2017-01-03T23:50:00-1100,28.3,90.02,3.6,100,-14.331,-170.7105,9
NSTU,2017-01-04T00:50:00-1100,28.2,88.96,5.14,110,-14.331,-170.7105,9
NSTU,2017-01-04T01:52:00-1100,28.3,87.92,4.12,120,-14.331,-170.7105,9
NSTU,2017-01-04T02:51:00-1100,28.3,87.41,4.12,110,-14.331,-170.7105,9
NSTU,2017-01-04T03:51:00-1100,27.1,89.4,2.06,,-14.331,-170.7105,9
NSTU,2017-01-04T04:51:00-1100,26.8,94.28,0,0,-14.331,-170.7105,9
NSTU,2017-01-04T05:50:00-1100,26.7,90.98,2.57,,-14.331,-170.7105,9
NSTU,2017-01-04T06:51:00-1100,26.9,93.18,1.54,,-14.331,-170.7105,9
NSTU,2017-01-04T07:52:00-1100,28.2,88.96,3.6,80,-14.331,-170.7105,9
NSTU,2017-01-04T08:50:00-1100,28.6,88.99,6.69,110,-14.331,-170.7105,9
NSTU,2017-01-04T09:51:00-1100,29.2,86.97,4.12,100,-14.331,-170.7105,9
NSTU,2017-01-04T10:52:00-1100,29.9,83.54,4.63,90,-14.331,-170.7105,9
NSTU,2017-01-04T11:50:00-1100,31,81.26,4.12,100,-14.331,-170.7105,9
NSTU,2017-01-04T12:51:00-1100,30.6,83.14,4.63,100,-14.331,-170.7105,9
NSTU,2017-01-04T13:50:00-1100,28.9,86.44,4.12,100,-14.331,-170.7105,9
NSTU,2017-01-04T14:50:00-1100,27.9,86.86,2.06,50,-14.331,-170.7105,9
NSTU,2017-01-04T15:50:00-1100,28.7,84.9,1.54,,-14.331,-170.7105,9
NSTU,2017-01-04T16:52:00-1100,28.6,85.39,3.09,,-14.331,-170.7105,9
NSTU,2017-01-04T17:50:00-1100,28.4,88.97,2.06,,-14.331,-170.7105,9
NSTU,2017-01-04T18:50:00-1100,28.2,86.88,2.06,,-14.331,-170.7105,9
