LAT,LON,TIMESTAMP,RECORD,BattV_Avg,PTemp_C_Max,AirTF_Avg,RH,Rain_in_Tot,WS_mph_S_WVT,WindDir_D1_WVT,WindDir_SD1_WVT,SlrW_Avg,SlrMJ_Tot,BattV_Avg.1
-14.32,-170.83,2019-06-17 11:15:00,0,,32.12,28.944444444444443,89.1,0.0,0.3553968,213.5,0.014,702.4,0.547863,13.08
-14.32,-170.83,2019-06-17 11:30:00,1,,33.9,28.944444444444443,86.6,3.302,0.5149900799999999,196.9,0.015,622.3,0.5600884,13.1
-14.32,-170.83,2019-06-17 11:45:00,2,,34.59,29.22222222222222,85.6,0.0,0.525272,154.3,0.02,785.2,0.7066366,13.25
-14.32,-170.83,2019-06-17 12:00:00,3,,34.88,29.11111111111111,91.1,0.0,0.35405568,73.5,0.016,361.6,0.3254382,13.08
-14.32,-170.83,2019-06-17 12:15:00,4,,33.42,27.61111111111111,85.6,0.0,0.57042304,232.1,0.014,464,0.417623,13.11
-14.32,-170.83,2019-06-17 12:30:00,5,,34.46,29.11111111111111,82.0,0.0,0.435864,182.4,0.01,834,0.7506145,13.38
-14.32,-170.83,2019-06-17 12:45:00,6,,35.33,29.72222222222222,81.8,0.0,0.57042304,328.6,0.013,779.3,0.7013503,13.38
-14.32,-170.83,2019-06-17 13:00:00,7,,36.32,29.666666666666668,80.8,0.0,0.51990752,178.4,0.016,727.1,0.6544095,13.38
-14.32,-170.83,2019-06-17 13:15:00,8,,36.8,28.88888888888889,89.2,0.0,0.53242464,86.9,0.012,349.9,0.3148906,13.15
-14.32,-170.83,2019-06-17 13:30:00,9,,33.76,27.277777777777775,91.0,0.0,0.25213055999999995,231.6,0.014,313.9,0.2824732,13.1
-14.32,-170.83,2019-06-17 13:45:00,10,,34.67,28.77777777777778,86.1,0.0,0.49889664000000006,71.79,0.014,788.4,0.7096038,13.41
-14.32,-170.83,2019-06-17 14:00:00,11,,34.15,28.72222222222222,91.2,0.0,0.20161504,182.2,0.009,344.6,0.3101559,13.19
-14.32,-170.83,2019-06-17 14:15:00,12,,33.02,26.57222222222222,95.6,1.778,0.480568,280.7,0.013,163.4,0.1470685,13.02
-14.32,-170.83,2019-06-17 14:30:00,13,,32.52,27.666666666666668,88.9,0.0,0.2928112,199.8,0.02,672.9,0.6055922,13.46
-14.32,-170.83,2019-06-17 14:45:00,14,,34.57,28.72222222222222,90.0,0.0,0.6710070399999999,195.3,0.016,690.8,0.6216955,13.48
-14.32,-170.83,2019-06-17 15:00:00,15,,35.42,29.166666666666668,83.8,0.0,0.46670976000000003,46.78,0.014,612.6,0.5513719,13.44
-14.32,-170.83,2019-06-17 15:15:00,16,,35.97,29.5,86.3,0.0,0.45329856,198.4,0.017,512.6,0.4613418,13.34
-14.32,-170.83,2019-06-17 15:30:00,17,,34.58,27.22222222222222,98.5,8.128,0.54136544,5.678,0.011,114.3,0.1028756,13.03
-14.32,-170.83,2019-06-17 15:45:00,18,,31.35,25.955555555555556,98.1,1.5239999999999998,0.43273471999999996,359.5,0.014,93.7,0.08433981,12.97
-14.32,-170.83,2019-06-17 16:00:00,19,,29.72,26.999999999999996,92.5,0.254,0.45329856,307.5,0.018,387.7,0.3489749,13.33
-14.32,-170.83,2019-06-17 16:15:00,20,,30.66,27.61111111111111,90.7,0.0,0.44614592,198.1,0.017,369.2,0.3322436,13.41
-14.32,-170.83,2019-06-17 16:30:00,21,,31.6,27.88888888888889,91.3,0.0,0.39116,44.63,0.014,377.7,0.3398889,13.42
-14.32,-170.83,2019-06-17 16:45:00,22,,31.51,27.277777777777775,96.3,0.0,0.32008063999999997,10.87,0.009,167.4,0.1506793,13.18
-14.32,-170.83,2019-06-17 17:00:00,23,,30.47,26.888888888888893,92.9,0.0,0.514096,228.5,0.023,180.3,0.1622563,13.24
-14.32,-170.83,2019-06-17 17:15:00,24,,30.0,26.833333333333332,95.7,0.0,0.49487327999999997,65.12,0.019,150.7,0.1356294,13.21
-14.32,-170.83,2019-06-17 17:30:00,25,,29.68,26.311111111111114,96.8,0.0,0.4068064,64.09,0.024,142.2,0.1279428,13.16
-14.32,-170.83,2019-06-17 17:45:00,26,,29.2,26.0,97.2,0.0,0.59501024,59.58,0.026,68.44,0.06159285,13.04
-14.32,-170.83,2019-06-17 18:00:00,27,,28.31,25.572222222222223,98.9,0.0,0.6486550400000001,50.99,0.034,17.54,0.01578609,12.92
-14.32,-170.83,2019-06-17 18:15:00,28,,27.4,25.21111111111111,100.0,0.0,0.69112384,58.7,0.025,5.521,0.00496906,12.88
-14.32,-170.83,2019-06-17 18:30:00,29,,26.67,25.161111111111115,99.9,0.0,0.64507872,52.21,0.024,0.498,0.0004482508,12.86
-14.32,-170.83,2019-06-17 18:45:00,30,,26.24,25.383333333333333,99.9,0.0,0.6540195200000001,67.27,0.028,0.007,6.33E-06,12.84
-14.32,-170.83,2019-06-17 19:00:00,31,,26.04,25.02777777777778,100.0,0.0,0.69022976,59.31,0.03,0.01,9.33E-06,12.83
-14.32,-170.83,2019-06-17 19:15:00,32,,25.89,25.04444444444444,100.0,1.778,0.50649632,50.46,0.021,0.005,4.72E-06,12.83
-14.32,-170.83,2019-06-17 19:30:00,33,,25.75,25.11666666666666,100.0,0.0,0.36165536000000004,61.35,0.031,0.011,9.76E-06,12.82
-14.32,-170.83,2019-06-17 19:45:00,34,,25.74,25.18888888888889,100.0,0.0,0.6504432,65.46,0.033,0.001,1.29E-06,12.81
-14.32,-170.83,2019-06-17 20:00:00,35,,25.74,25.144444444444446,100.0,0.0,0.70989952,54.13,0.03,0.009,8.48E-06,12.8
-14.32,-170.83,2019-06-17 20:15:00,36,,25.71,25.194444444444443,100.0,0.0,0.4671568,47.96,0.025,0.007,6.01E-06,12.8
-14.32,-170.83,2019-06-17 20:30:00,37,,25.61,25.105555555555554,100.0,0.0,0.55969408,64.97,0.028,0.004,3.43E-06,12.79
-14.32,-170.83,2019-06-17 20:45:00,38,,25.54,25.04444444444444,100.0,0.0,0.70274688,63.26,0.026,0.003,2.79E-06,12.79
-14.32,-170.83,2019-06-17 21:00:00,39,,25.44,25.038888888888884,100.0,0.0,0.90167968,54.74,0.029,0.003,2.79E-06,12.78
-14.32,-170.83,2019-06-17 21:15:00,40,,25.39,25.06666666666667,100.0,0.0,0.83015328,54.79,0.027,0.01,8.69E-06,12.78
-14.32,-170.83,2019-06-17 21:30:00,41,,25.37,25.155555555555555,99.9,0.0,0.7353808,45.04,0.026,0.008,7.62E-06,12.77
-14.32,-170.83,2019-06-17 21:45:00,42,,25.36,25.244444444444444,99.6,0.0,0.6593840000000001,42.0,0.021,0.004,3.65E-06,12.77
-14.32,-170.83,2019-06-17 22:00:00,43,,25.25,25.100000000000005,100.0,0.0,0.7559446400000001,50.23,0.027,0.01,8.8E-06,12.77
-14.32,-170.83,2019-06-17 22:15:00,44,,25.15,25.06666666666667,99.0,0.0,0.73940416,52.69,0.026,0.006,5.47E-06,12.76
-14.32,-170.83,2019-06-17 22:30:00,45,,25.07,25.12222222222222,97.5,0.0,0.6401612799999999,33.04,0.032,0.003,2.68E-06,12.76
-14.32,-170.83,2019-06-17 22:45:00,46,,25.0,25.25555555555555,96.4,0.0,0.62004448,48.95,0.017,0.008,7.19E-06,12.75
-14.32,-170.83,2019-06-17 23:00:00,47,,24.93,25.25,97.3,0.0,0.87753952,43.07,0.023,0.002,1.82E-06,12.75
-14.32,-170.83,2019-06-17 23:15:00,48,,24.89,25.038888888888884,98.1,0.0,0.58651648,66.11,0.025,0.008,6.97E-06,12.74
-14.32,-170.83,2019-06-17 23:30:00,49,,24.78,24.87777777777778,97.6,0.0,0.6701129600000001,68.92,0.03,0.004,3.33E-06,12.74
-14.32,-170.83,2019-06-17 23:45:00,50,,24.67,24.95555555555556,96.9,0.0,0.8292592,42.58,0.022,0.01,9.33E-06,12.73
-14.32,-170.83,2019-06-18 00:00:00,51,,24.63,24.92777777777778,98.5,0.0,0.58830464,48.84,0.023,0.007,6.65E-06,12.73
-14.32,-170.83,2019-06-18 00:15:00,52,,24.72,25.09444444444445,98.5,0.0,0.5851753599999999,53.92,0.025,0.004,3.86E-06,12.72
-14.32,-170.83,2019-06-18 00:30:00,53,,24.74,25.13888888888889,98.1,0.0,0.49219103999999997,51.56,0.018,0.01,8.69E-06,12.72
-14.32,-170.83,2019-06-18 00:45:00,54,,24.74,24.92777777777778,98.7,0.0,0.42155872,49.28,0.02,0.005,4.4E-06,12.71
-14.32,-170.83,2019-06-18 01:00:00,55,,24.73,24.866666666666667,98.9,0.0,0.5149900799999999,46.83,0.021,0.007,6.33E-06,12.71
-14.32,-170.83,2019-06-18 01:15:00,56,,24.71,24.938888888888886,99.1,0.0,0.603504,69.45,0.027,0.007,6.33E-06,12.7
-14.32,-170.83,2019-06-18 01:30:00,57,,24.89,25.06666666666667,99.7,0.0,0.48861472,59.95,0.022,0.007,6.01E-06,12.7
-14.32,-170.83,2019-06-18 01:45:00,58,,24.96,25.161111111111115,97.7,0.0,0.5592470399999999,68.28,0.018,0.014,1.24E-05,12.69
-14.32,-170.83,2019-06-18 02:00:00,59,,24.96,25.11111111111111,98.7,0.0,0.50023776,30.55,0.014,0.009,7.83E-06,12.69
-14.32,-170.83,2019-06-18 02:15:00,60,,24.89,24.92777777777778,99.1,0.0,0.48772064,53.23,0.024,0.008,7.51E-06,12.69
-14.32,-170.83,2019-06-18 02:30:00,61,,24.76,24.822222222222226,99.8,0.0,0.42155872,68.7,0.03,0.004,3.33E-06,12.68
-14.32,-170.83,2019-06-18 02:45:00,62,,24.81,25.11666666666666,98.3,0.0,0.71839328,48.82,0.021,0.005,4.29E-06,12.68
-14.32,-170.83,2019-06-18 03:00:00,63,,24.82,24.977777777777774,99.6,0.0,0.6504432,59.48,0.026,0.007,6.44E-06,12.67
-14.32,-170.83,2019-06-18 03:15:00,64,,24.78,24.91111111111111,99.8,0.0,0.6052921600000001,63.57,0.026,0.007,6.33E-06,12.67
-14.32,-170.83,2019-06-18 03:30:00,65,,24.85,25.083333333333336,98.5,0.0,0.38400735999999996,60.11,0.019,0.003,3.11E-06,12.66
-14.32,-170.83,2019-06-18 03:45:00,66,,24.84,25.02777777777778,99.4,0.0,0.36478464,54.58,0.019,0.005,4.94E-06,12.66
-14.32,-170.83,2019-06-18 04:00:00,67,,24.78,24.86111111111111,99.2,0.0,0.43005247999999996,50.9,0.019,0.005,4.72E-06,12.66
-14.32,-170.83,2019-06-18 04:15:00,68,,24.72,24.827777777777776,100.0,0.254,0.41172384,50.27,0.023,0.008,6.97E-06,12.65
-14.32,-170.83,2019-06-18 04:30:00,69,,24.77,24.855555555555554,100.0,0.0,0.4045712,54.55,0.021,0.005,4.29E-06,12.65
-14.32,-170.83,2019-06-18 04:45:00,70,,24.89,24.894444444444446,100.0,0.0,0.49666144,60.07,0.029,0.006,5.58E-06,12.64
-14.32,-170.83,2019-06-18 05:00:00,71,,24.97,24.961111111111116,100.0,0.0,0.35807904,41.75,0.01,0.008,7.08E-06,12.64
-14.32,-170.83,2019-06-18 05:15:00,72,,25.03,24.994444444444444,100.0,0.0,0.36031424,53.57,0.021,0.014,1.24E-05,12.64
-14.32,-170.83,2019-06-18 05:30:00,73,,25.02,24.894444444444446,100.0,0.0,0.37059615999999995,39.13,0.019,0.006,5.79E-06,12.63
-14.32,-170.83,2019-06-18 05:45:00,74,,25.01,24.916666666666664,100.0,0.254,0.2592832,48.9,0.02,0.007,5.9E-06,12.63
-14.32,-170.83,2019-06-18 06:00:00,75,,25.03,24.91111111111111,100.0,0.0,0.28118816,68.59,0.011,0.007,6.65E-06,12.63
-14.32,-170.83,2019-06-18 06:15:00,76,,25.0,24.822222222222226,100.0,0.0,0.32008063999999997,52.64,0.02,0.006,5.79E-06,12.62
-14.32,-170.83,2019-06-18 06:30:00,77,,24.89,24.761111111111106,100.0,0.0,0.30085792,61.06,0.024,0.07,6.33E-05,12.62
-14.32,-170.83,2019-06-18 06:45:00,78,,24.8,24.716666666666665,100.0,0.0,0.36165536000000004,42.89,0.025,1.413,0.001271796,12.61
-14.32,-170.83,2019-06-18 07:00:00,79,,24.84,24.67777777777778,100.0,0.0,0.41530016000000003,60.48,0.028,6.105,0.005494237,12.61
-14.32,-170.83,2019-06-18 07:15:00,80,,24.9,24.727777777777778,100.0,0.0,0.50292,60.94,0.033,13.89,0.01250103,12.61
-14.32,-170.83,2019-06-18 07:30:00,81,,25.0,24.805555555555557,100.0,0.0,0.50917856,62.49,0.027,25.4,0.02286111,12.62
-14.32,-170.83,2019-06-18 07:45:00,82,,25.21,24.988888888888894,100.0,0.0,0.51901344,52.2,0.026,41.64,0.03747904,12.62
-14.32,-170.83,2019-06-18 08:00:00,83,,25.33,25.105555555555554,100.0,0.0,0.43407584,54.47,0.024,46.18,0.04155986,12.62
-14.32,-170.83,2019-06-18 08:15:00,84,,25.41,25.022222222222226,100.0,0.0,0.49800256000000004,65.33,0.031,52.16,0.04694617,12.62
-14.32,-170.83,2019-06-18 08:30:00,85,,25.55,25.09444444444445,100.0,0.0,0.54270656,63.2,0.032,61.1,0.05499258,12.63
-14.32,-170.83,2019-06-18 08:45:00,86,,25.73,25.227777777777774,100.0,0.0,0.4559808,60.1,0.028,72.23,0.06500291,12.63
-14.32,-170.83,2019-06-18 09:00:00,87,,26.1,25.450000000000003,99.1,0.0,0.57712864,59.07,0.024,125.7,0.1131157,12.68
-14.32,-170.83,2019-06-18 09:15:00,88,,26.43,25.805555555555557,97.9,0.0,0.5042611199999999,78.0,0.032,140.5,0.1264556,12.72
-14.32,-170.83,2019-06-18 09:30:00,89,,26.93,26.311111111111114,94.1,0.0,0.45329856,54.75,0.023,236.1,0.2125107,12.76
-14.32,-170.83,2019-06-18 09:45:00,90,,27.17,26.266666666666666,95.3,0.0,0.6236208,62.73,0.026,252.6,0.2273654,12.75
-14.32,-170.83,2019-06-18 10:00:00,91,,28.1,26.999999999999996,92.3,0.0,0.74789792,62.39,0.028,461,0.4149032,12.9
