LAT,LON,TIMESTAMP,RECORD,BattV_Avg,PTemp_C_Max,AirTF_Avg,RH,Rain_in_Tot,WS_mph_S_WVT,WindDir_D1_WVT,WindDir_SD1_WVT,SlrW_Avg,SlrMJ_Tot,Batt_Volt_Avg
-14.28,-170.71,2019-06-11 12:15:00,0,12.82,36.37,28.88888888888889,87.8,0.0,1.25081792,319.2,0.02,60.79,0.05471281,
-14.28,-170.71,2019-06-11 12:30:00,1,13.03,38.82,29.555555555555557,83.1,0.0,1.0152278399999999,67.92,0.014,527.4,0.4746714,
-14.28,-170.71,2019-06-11 12:45:00,2,12.8,38.05,28.555555555555557,90.5,0.0,1.3433552,63.98,0.014,230.5,0.2074485,
-14.28,-170.71,2019-06-11 13:00:00,3,12.72,36.16,27.61111111111111,91.8,0.0,1.3040156799999998,168.3,0.022,150.4,0.135335,
-14.28,-170.71,2019-06-11 13:15:00,4,12.69,34.52,27.5,93.0,0.0,1.51680672,318.4,0.02,105.5,0.09490675,
-14.28,-170.71,2019-06-11 13:30:00,5,12.61,33.62,26.666666666666668,96.0,4.064,1.8462752,346.6,0.027,24.3,0.02186807,
-14.28,-170.71,2019-06-11 13:45:00,6,12.62,32.57,25.4,98.8,0.7619999999999999,0.25302463999999997,300.1,0.015,87.4,0.07861567,
-14.28,-170.71,2019-06-11 14:00:00,7,12.59,31.33,25.538888888888888,97.9,0.254,0.23290784,111.0,0.014,53.32,0.04798495,
-14.28,-170.71,2019-06-11 14:15:00,8,12.56,30.72,25.83888888888889,94.4,1.778,0.65670176,136.9,0.024,12.24,0.011014,
-14.28,-170.71,2019-06-11 14:30:00,9,12.54,30.31,26.022222222222226,93.0,2.032,1.32815584,132.4,0.026,12.45,0.01120481,
-14.28,-170.71,2019-06-11 14:45:00,10,12.53,30.05,25.72222222222222,96.6,2.794,0.71034656,0.629,0.016,13.84,0.01245458,
-14.28,-170.71,2019-06-11 15:00:00,11,12.52,29.99,25.07222222222222,93.1,1.27,0.9074911999999999,82.7,0.022,22.97,0.02067161,
-14.28,-170.71,2019-06-11 15:15:00,12,12.5,29.47,24.416666666666668,93.6,0.0,0.42200575999999995,143.6,0.013,12.64,0.01138028,
-14.28,-170.71,2019-06-11 15:30:00,13,12.49,28.92,24.13888888888889,98.4,0.254,0.33393888,189.9,0.014,16.77,0.01509441,
-14.28,-170.71,2019-06-11 15:45:00,14,12.48,28.69,24.00555555555555,99.4,0.254,0.28208224,314.4,0.009,23.04,0.02073543,
-14.28,-170.71,2019-06-11 16:00:00,15,12.47,28.67,23.983333333333334,97.1,0.254,0.5042611199999999,164.4,0.014,30.23,0.02720297,
-14.28,-170.71,2019-06-11 16:15:00,16,12.47,28.69,24.21666666666667,99.3,0.0,0.0134112,351.7,0.0,45.39,0.04084886,
-14.28,-170.71,2019-06-11 16:30:00,17,12.46,28.76,24.21666666666667,99.3,4.571999999999999,0.40993568,38.06,0.022,26,0.02339864,
-14.28,-170.71,2019-06-11 16:45:00,18,12.45,28.73,24.01111111111111,98.3,2.2859999999999996,0.48637952,57.71,0.013,19.21,0.01728676,
-14.28,-170.71,2019-06-11 17:00:00,19,12.45,28.63,24.361111111111107,100.0,0.0,0.6401612799999999,358.8,0.014,20.52,0.01846531,
-14.28,-170.71,2019-06-11 17:15:00,20,12.44,28.69,24.383333333333333,99.7,0.0,0.32097472,4.075,0.01,11.35,0.01021085,
-14.28,-170.71,2019-06-11 17:30:00,21,12.43,28.71,24.427777777777777,100.0,0.508,0.21189696,313.8,0.012,1.739,0.001564679,
-14.28,-170.71,2019-06-11 17:45:00,22,12.43,28.72,24.505555555555556,99.7,1.27,0.47520352,100.6,0.018,1.376,0.001238829,
-14.28,-170.71,2019-06-11 18:00:00,23,12.43,28.75,24.838888888888885,96.8,0.508,0.346456,87.8,0.014,1.836,0.001652201,
-14.28,-170.71,2019-06-11 18:15:00,24,12.43,28.67,24.6,99.5,0.508,0.08359648,119.1,0.01,0.21,0.000188667,
-14.28,-170.71,2019-06-11 18:30:00,25,12.42,28.56,24.92777777777778,94.7,0.0,1.18197376,143.7,0.011,0.012,1.08E-05,
-14.28,-170.71,2019-06-11 18:45:00,26,12.42,28.47,25.383333333333333,94.5,0.0,1.23025408,88.2,0.017,0.009,7.94E-06,
-14.28,-170.71,2019-06-11 19:00:00,27,12.42,28.44,25.25,94.5,0.0,0.9928758400000001,193.1,0.021,0.004,3.97E-06,
-14.28,-170.71,2019-06-11 19:15:00,28,12.42,28.47,24.683333333333337,95.9,0.0,0.51275488,43.98,0.015,0.004,3.97E-06,
-14.28,-170.71,2019-06-11 19:30:00,29,12.42,28.53,24.688888888888886,99.6,8.128,0.74074528,31.72,0.018,0.005,4.93E-06,
-14.28,-170.71,2019-06-11 19:45:00,30,12.41,28.55,24.549999999999997,93.5,9.143999999999998,0.96068896,123.6,0.015,0.006,5.58E-06,
-14.28,-170.71,2019-06-11 20:00:00,31,12.41,28.53,24.67222222222222,95.3,1.27,1.9839635199999999,152.2,0.024,0.003,2.25E-06,
-14.28,-170.71,2019-06-11 20:15:00,32,12.41,28.21,23.93333333333333,99.1,1.778,0.29236416,295.9,0.012,0.008,6.86E-06,
-14.28,-170.71,2019-06-11 20:30:00,33,12.41,28.02,23.988888888888894,96.9,0.508,0.9302902399999999,304.3,0.014,0.003,3.11E-06,
-14.28,-170.71,2019-06-11 20:45:00,34,12.4,27.99,23.81666666666667,98.5,1.016,0.9875113600000001,73.31,0.017,0.005,4.18E-06,
-14.28,-170.71,2019-06-11 21:00:00,35,12.4,27.83,23.261111111111113,99.3,0.254,0.31024576,128.4,0.011,0.008,7.19E-06,
-14.28,-170.71,2019-06-11 21:15:00,36,12.4,27.6,23.16111111111111,100.0,0.254,0.23290784,114.0,0.01,0.009,7.83E-06,
-14.28,-170.71,2019-06-11 21:30:00,37,12.4,27.41,23.055555555555557,100.0,0.0,0.1519936,156.4,0.011,0.007,6.65E-06,
-14.28,-170.71,2019-06-11 21:45:00,38,12.4,27.34,23.099999999999998,100.0,0.254,0.044704,345.4,0.005,0.011,9.87E-06,
-14.28,-170.71,2019-06-11 22:00:00,39,12.39,27.37,23.28888888888889,100.0,0.254,0.0379984,231.8,0.009,0.007,6.01E-06,
-14.28,-170.71,2019-06-11 22:15:00,40,12.39,27.5,23.555555555555557,100.0,0.0,0.13590016,166.1,0.006,0.006,5.04E-06,
-14.28,-170.71,2019-06-11 22:30:00,41,12.39,27.87,25.011111111111106,95.0,0.0,0.80511904,167.3,0.021,0.007,6.11E-06,
-14.28,-170.71,2019-06-11 22:45:00,42,12.39,28.35,25.744444444444447,89.2,0.0,1.43678656,132.7,0.02,0.01,9.22E-06,
-14.28,-170.71,2019-06-11 23:00:00,43,12.39,28.49,25.683333333333337,93.6,0.254,1.1274348799999998,303.5,0.013,0.006,5.04E-06,
-14.28,-170.71,2019-06-11 23:15:00,44,12.38,28.61,25.26666666666667,96.5,0.0,0.87038688,13.11,0.018,0.005,4.29E-06,
-14.28,-170.71,2019-06-11 23:30:00,45,12.38,28.71,25.20555555555556,96.1,0.0,1.02506272,358.3,0.024,0.005,4.18E-06,
-14.28,-170.71,2019-06-11 23:45:00,46,12.38,28.69,25.02777777777778,95.5,0.0,0.6835241599999999,11.18,0.018,0.006,5.36E-06,
-14.28,-170.71,2019-06-12 00:00:00,47,12.38,28.61,25.200000000000003,95.3,0.0,1.24232416,4.601,0.023,0.01,9.22E-06,
-14.28,-170.71,2019-06-12 00:15:00,48,12.38,28.6,25.155555555555555,95.4,0.0,0.6647484800000001,29.18,0.013,0.007,6.65E-06,
-14.28,-170.71,2019-06-12 00:30:00,49,12.38,28.57,24.994444444444444,91.8,0.0,0.86323424,9.96,0.021,0.003,2.68E-06,
-14.28,-170.71,2019-06-12 00:45:00,50,12.37,28.45,25.555555555555557,91.5,0.254,1.1323523199999999,97.1,0.018,0.009,7.94E-06,
-14.28,-170.71,2019-06-12 01:00:00,51,12.37,28.48,25.616666666666667,91.0,0.0,1.00718112,160.6,0.019,0.009,8.47E-06,
-14.28,-170.71,2019-06-12 01:15:00,52,12.37,28.68,26.13888888888889,87.8,0.0,1.38761216,177.8,0.028,0.008,7.08E-06,
-14.28,-170.71,2019-06-12 01:30:00,53,12.37,28.91,26.261111111111106,86.7,0.0,1.4032585599999998,160.6,0.027,0.007,6.22E-06,
-14.28,-170.71,2019-06-12 01:45:00,54,12.37,29.1,26.64444444444444,82.5,0.0,1.45153888,152.2,0.029,0.005,4.18E-06,
-14.28,-170.71,2019-06-12 02:00:00,55,12.37,29.18,26.172222222222224,82.1,0.0,0.86323424,124.2,0.024,0.008,7.62E-06,
-14.28,-170.71,2019-06-12 02:15:00,56,12.37,29.13,25.92777777777778,78.82,0.0,1.9490944000000001,148.1,0.028,0.008,7.19E-06,
-14.28,-170.71,2019-06-12 02:30:00,57,12.36,28.95,25.749999999999996,90.4,0.0,1.56642816,154.7,0.025,0.007,6.01E-06,
-14.28,-170.71,2019-06-12 02:45:00,58,12.36,28.89,24.966666666666665,89.7,0.0,0.76622656,10.02,0.016,0.005,4.93E-06,
-14.28,-170.71,2019-06-12 03:00:00,59,12.36,28.85,25.622222222222224,89.6,0.0,0.8395411199999999,38.14,0.021,0.006,5.79E-06,
-14.28,-170.71,2019-06-12 03:15:00,60,12.36,29.21,26.233333333333334,88.4,0.0,1.32413248,121.2,0.014,0.008,7.29E-06,
-14.28,-170.71,2019-06-12 03:30:00,61,12.36,29.67,26.65555555555556,87.1,0.0,1.2360656,145.2,0.019,0.009,7.94E-06,
-14.28,-170.71,2019-06-12 03:45:00,62,12.36,29.98,26.77777777777778,87.9,0.0,1.6339312,312.1,0.014,0.007,6.11E-06,
-14.28,-170.71,2019-06-12 04:00:00,63,12.36,30.1,26.65,88.5,0.0,1.1618569600000002,3.615,0.014,0.009,8.15E-06,
-14.28,-170.71,2019-06-12 04:15:00,64,12.35,30.2,26.77777777777778,89.4,0.0,1.3974470399999999,246.4,0.024,0.004,3.86E-06,
-14.28,-170.71,2019-06-12 04:30:00,65,12.35,30.26,26.666666666666668,91.6,0.0,1.2485827200000001,326.6,0.017,0.003,2.25E-06,
-14.28,-170.71,2019-06-12 04:45:00,66,12.35,30.24,26.555555555555557,88.9,0.0,1.2248896,143.3,0.022,0.004,3.43E-06,
-14.28,-170.71,2019-06-12 05:00:00,67,12.35,30.1,26.272222222222226,90.7,0.0,0.86234016,75.93,0.015,0.008,6.86E-06,
-14.28,-170.71,2019-06-12 05:15:00,68,12.35,29.93,26.38888888888889,94.3,0.0,0.8306003200000001,272.3,0.014,0.006,5.04E-06,
-14.28,-170.71,2019-06-12 05:30:00,69,12.35,29.93,26.327777777777776,92.8,0.0,0.52795424,212.4,0.019,0.008,7.19E-06,
-14.28,-170.71,2019-06-12 05:45:00,70,12.34,30.11,26.833333333333332,89.8,0.0,1.36213088,134.6,0.021,0.01,9.01E-06,
-14.28,-170.71,2019-06-12 06:00:00,71,12.34,30.38,27.277777777777775,86.9,0.0,1.9370243200000001,150.4,0.024,0.011,1.02E-05,
-14.28,-170.71,2019-06-12 06:15:00,72,12.34,30.61,27.277777777777775,87.8,0.0,1.34067296,57.52,0.018,0.003,2.47E-06,
-14.28,-170.71,2019-06-12 06:30:00,73,12.34,30.78,27.277777777777775,89.9,0.0,2.0697951999999997,22.28,0.019,0.016,1.47E-05,
-14.28,-170.71,2019-06-12 06:45:00,74,12.34,30.85,27.333333333333332,85.1,0.0,2.35053632,159.8,0.022,0.343,0.000308796,
-14.28,-170.71,2019-06-12 07:00:00,75,12.34,30.98,27.38888888888889,86.6,0.0,2.23028256,155.4,0.019,2.154,0.001938473,
-14.28,-170.71,2019-06-12 07:15:00,76,12.34,31.06,27.333333333333332,85.8,0.0,1.810512,132.1,0.013,6.97,0.006273409,
-14.28,-170.71,2019-06-12 07:30:00,77,12.34,31.15,27.333333333333332,88.8,0.0,1.59906208,133.5,0.016,16.15,0.01453206,
-14.28,-170.71,2019-06-12 07:45:00,78,12.34,31.17,27.277777777777775,88.6,0.0,1.42248128,90.0,0.018,29.64,0.02667408,
-14.28,-170.71,2019-06-12 08:00:00,79,12.34,31.32,27.5,86.7,0.0,3.0385308799999997,124.4,0.02,35.6,0.03203687,
-14.28,-170.71,2019-06-12 08:15:00,80,12.37,31.51,27.444444444444446,86.3,0.0,3.35145888,151.5,0.017,70.22,0.06319842,
-14.28,-170.71,2019-06-12 08:30:00,81,12.39,31.56,27.333333333333332,86.3,0.0,2.2647046399999997,160.4,0.016,94.6,0.08509985,
-14.28,-170.71,2019-06-12 08:45:00,82,12.41,31.6,27.11111111111111,86.7,0.0,1.4139875199999998,325.3,0.016,121.2,0.1090728,
-14.28,-170.71,2019-06-12 09:00:00,83,12.43,31.62,27.11111111111111,87.4,0.0,1.7005401599999999,341.5,0.025,142.1,0.1279333,
-14.28,-170.71,2019-06-12 09:15:00,84,12.45,31.7,27.11111111111111,89.0,0.0,1.21103136,308.1,0.024,147.9,0.1330799,
-14.28,-170.71,2019-06-12 09:30:00,85,12.42,31.72,26.999999999999996,89.3,0.0,1.10910624,336.9,0.031,110.5,0.09947573,
-14.28,-170.71,2019-06-12 09:45:00,86,12.4,31.73,27.11111111111111,90.6,0.0,1.32592064,336.2,0.019,93,0.08370442,
-14.28,-170.71,2019-06-12 10:00:00,87,12.39,31.77,27.333333333333332,88.5,0.0,1.0241686399999999,313.4,0.01,82.4,0.07420394,
-14.28,-170.71,2019-06-12 10:15:00,88,12.46,32.2,27.61111111111111,89.7,0.0,0.95845376,330.4,0.024,187.1,0.1684024,
-14.28,-170.71,2019-06-12 10:30:00,89,12.49,32.7,27.944444444444443,87.0,0.0,1.2584176,52.65,0.019,219.7,0.1977252,
-14.28,-170.71,2019-06-12 10:45:00,90,12.52,33.09,28.22222222222222,84.6,0.0,1.10910624,166.3,0.022,251.2,0.2260374,
-14.28,-170.71,2019-06-12 11:00:00,91,12.57,33.65,28.333333333333332,85.6,0.0,1.35587232,20.76,0.019,308.2,0.2774152,
-14.28,-170.71,2019-06-12 11:15:00,92,12.7,35.53,28.88888888888889,82.9,0.0,1.41309344,341.6,0.023,479.3,0.4313916,
-14.28,-170.71,2019-06-12 11:30:00,93,12.63,35.15,28.444444444444443,85.5,0.0,1.5132303999999999,347.2,0.031,288,0.259198,
-14.28,-170.71,2019-06-12 11:45:00,94,12.63,34.69,28.388888888888886,85.1,0.0,1.3518489599999999,330.5,0.033,279.3,0.2513736,
-14.28,-170.71,2019-06-12 12:00:00,95,12.61,34.35,28.333333333333332,86.8,0.0,1.04920288,350.6,0.029,250.8,0.2257639,
-14.28,-170.71,2019-06-12 12:15:00,96,12.64,34.19,28.277777777777782,86.6,0.0,1.50920704,348.9,0.031,303.6,0.2732229,
-14.28,-170.71,2019-06-12 12:30:00,97,12.85,35.37,29.166666666666668,80.8,0.0,1.1158118399999999,343.9,0.023,568.9,0.5120124,
-14.28,-170.71,2019-06-12 12:45:00,98,12.76,35.8,29.166666666666668,84.4,0.0,0.972312,359.2,0.021,356.3,0.3206784,
-14.28,-170.71,2019-06-12 13:00:00,99,12.97,37.31,29.666666666666668,83.1,0.0,1.04920288,342.2,0.03,653.9,0.5884922,
-14.28,-170.71,2019-06-12 13:15:00,100,12.87,37.24,29.5,82.0,0.0,0.983488,23.65,0.03,450.1,0.4051017,
-14.28,-170.71,2019-06-12 13:30:00,101,12.81,36.96,28.88888888888889,83.9,0.0,1.34916672,343.2,0.029,318.4,0.2865926,
-14.28,-170.71,2019-06-12 13:45:00,102,12.77,36.14,28.833333333333332,83.7,0.0,0.68754752,19.01,0.03,295.1,0.2656307,
-14.28,-170.71,2019-06-12 14:00:00,103,12.83,36.2,29.11111111111111,84.2,0.0,0.96918272,28.59,0.026,371,0.3339096,
-14.28,-170.71,2019-06-12 14:15:00,104,12.82,35.9,29.0,86.7,0.0,0.7733791999999999,90.0,0.02,335.2,0.3016772,
-14.28,-170.71,2019-06-12 14:30:00,105,12.86,36.0,28.77777777777778,84.9,0.0,0.9334195200000001,63.95,0.019,420.8,0.3787573,
-14.28,-170.71,2019-06-12 14:45:00,106,12.75,35.95,29.0,85.8,0.0,0.63077344,5.838,0.022,195.7,0.176144,
-14.28,-170.71,2019-06-12 15:00:00,107,12.72,35.46,28.444444444444443,87.4,0.0,1.10776512,312.9,0.024,174.3,0.15691,
-14.28,-170.71,2019-06-12 15:15:00,108,12.75,34.75,28.22222222222222,89.3,0.0,0.6871004799999999,353.1,0.02,261.4,0.2352269,
-14.28,-170.71,2019-06-12 15:30:00,109,12.79,34.17,28.77777777777778,82.5,0.0,0.7577328,40.06,0.018,316.2,0.2845526,
-14.28,-170.71,2019-06-12 15:45:00,110,12.78,34.4,28.944444444444443,83.5,0.0,0.80377792,44.43,0.018,325,0.2924968,
-14.28,-170.71,2019-06-12 16:00:00,111,12.78,34.46,28.944444444444443,81.1,0.0,1.0107574400000001,6.057,0.018,314.8,0.2833247,
-14.28,-170.71,2019-06-12 16:15:00,112,12.73,34.44,28.944444444444443,83.3,0.0,1.3075919999999999,52.81,0.026,199.2,0.1792591,
-14.28,-170.71,2019-06-12 16:30:00,113,12.68,34.08,28.444444444444443,86.8,0.0,1.1493398400000001,97.6,0.022,156.4,0.140796,
-14.28,-170.71,2019-06-12 16:45:00,114,12.65,33.66,28.388888888888886,84.7,0.0,1.07602528,94.6,0.024,96.7,0.08702963,
-14.28,-170.71,2019-06-12 17:00:00,115,12.63,33.38,27.555555555555554,90.6,0.508,0.9092793599999999,45.85,0.017,84.3,0.07588821,
-14.28,-170.71,2019-06-12 17:15:00,116,12.62,32.79,27.11111111111111,90.3,0.0,0.90123264,127.4,0.024,84.8,0.07631584,
-14.28,-170.71,2019-06-12 17:30:00,117,12.59,31.77,26.77777777777778,96.2,0.0,0.35718496,219.4,0.02,48.83,0.04394969,
-14.28,-170.71,2019-06-12 17:45:00,118,12.56,31.27,26.333333333333336,95.9,0.0,0.44704,210.3,0.011,23.67,0.02130593,
-14.28,-170.71,2019-06-12 18:00:00,119,12.55,31.01,26.888888888888893,92.2,0.0,0.75013312,158.4,0.034,5.224,0.004701223,
-14.28,-170.71,2019-06-12 18:15:00,120,12.54,30.86,27.16666666666667,89.9,0.0,1.01612192,165.2,0.027,0.648,0.00058284,
-14.28,-170.71,2019-06-12 18:30:00,121,12.52,30.79,26.999999999999996,94.3,0.0,0.8708339199999999,189.5,0.025,0.039,3.54E-05,
-14.28,-170.71,2019-06-12 18:45:00,122,12.52,30.65,26.13888888888889,95.0,0.0,0.56505856,175.4,0.023,0.01,9.01E-06,
-14.28,-170.71,2019-06-12 19:00:00,123,12.51,30.35,26.083333333333332,95.5,0.0,0.6710070399999999,189.0,0.03,0.004,3.54E-06,
-14.28,-170.71,2019-06-12 19:15:00,124,12.5,30.14,26.055555555555557,94.0,0.0,0.9486188799999999,174.8,0.031,0.006,5.79E-06,
-14.28,-170.71,2019-06-12 19:30:00,125,12.49,30.21,26.944444444444443,90.9,0.0,0.8909507200000001,165.3,0.033,0.005,4.72E-06,
-14.28,-170.71,2019-06-12 19:45:00,126,12.48,30.56,27.5,90.8,0.0,1.38850624,137.8,0.023,0.005,4.4E-06,
