TOA5,3.1.1 Poloa,CR300-WIFI,1,CR300-WIFI.Std.07.04,CPU:WRRC_ASPA_prog_wWiFiLogic.CR300,21976,Afono_wx,,,,,
TIMESTAMP,RECORD,BattV_Avg,PTemp_C_Max,AirTF_Avg,RH,Rain_in_Tot,WS_mph_S_WVT,WindDir_D1_WVT,WindDir_SD1_WVT,SlrW_Avg,SlrMJ_Tot,BattV_Avg
TS,RN,Volts,Deg C,Deg F,%,inch,miles/hour,Deg,Deg,W/m^2,MJ/m^2,Volts
,,Avg,Max,Avg,Smp,Tot,WVc,WVc,WVc,Avg,Tot,Avg
6/17/19 11:15,0,13.08,32.12,84.1,89.1,0,0.795,213.5,0.014,702.4,0.547863,13.08
6/17/19 11:30,1,13.1,33.9,84.1,86.6,0.13,1.152,196.9,0.015,622.3,0.5600884,13.1
6/17/19 11:45,2,13.26,34.59,84.6,85.6,0,1.175,154.3,0.02,785.2,0.7066366,13.25
6/17/19 12:00,3,13.08,34.88,84.4,91.1,0,0.792,73.5,0.016,361.6,0.3254382,13.08
6/17/19 12:15,4,13.11,33.42,81.7,85.6,0,1.276,232.1,0.014,464,0.417623,13.11
6/17/19 12:30,5,13.39,34.46,84.4,82,0,0.975,182.4,0.01,834,0.7506145,13.38
6/17/19 12:45,6,13.39,35.33,85.5,81.8,0,1.276,328.6,0.013,779.3,0.7013503,13.38
6/17/19 13:00,7,13.38,36.32,85.4,80.8,0,1.163,178.4,0.016,727.1,0.6544095,13.38
6/17/19 13:15,8,13.15,36.8,84,89.2,0,1.191,86.9,0.012,349.9,0.3148906,13.15
6/17/19 13:30,9,13.1,33.76,81.1,91,0,0.564,231.6,0.014,313.9,0.2824732,13.1
6/17/19 13:45,10,13.41,34.67,83.8,86.1,0,1.116,71.79,0.014,788.4,0.7096038,13.41
6/17/19 14:00,11,13.19,34.15,83.7,91.2,0,0.451,182.2,0.009,344.6,0.3101559,13.19
6/17/19 14:15,12,13.02,33.02,79.83,95.6,0.07,1.075,280.7,0.013,163.4,0.1470685,13.02
6/17/19 14:30,13,13.47,32.52,81.8,88.9,0,0.655,199.8,0.02,672.9,0.6055922,13.46
6/17/19 14:45,14,13.48,34.57,83.7,90,0,1.501,195.3,0.016,690.8,0.6216955,13.48
6/17/19 15:00,15,13.44,35.42,84.5,83.8,0,1.044,46.78,0.014,612.6,0.5513719,13.44
6/17/19 15:15,16,13.34,35.97,85.1,86.3,0,1.014,198.4,0.017,512.6,0.4613418,13.34
6/17/19 15:30,17,13.04,34.58,81,98.5,0.32,1.211,5.678,0.011,114.3,0.1028756,13.03
6/17/19 15:45,18,12.97,31.35,78.72,98.1,0.06,0.968,359.5,0.014,93.7,0.08433981,12.97
6/17/19 16:00,19,13.34,29.72,80.6,92.5,0.01,1.014,307.5,0.018,387.7,0.3489749,13.33
6/17/19 16:15,20,13.42,30.66,81.7,90.7,0,0.998,198.1,0.017,369.2,0.3322436,13.41
6/17/19 16:30,21,13.43,31.6,82.2,91.3,0,0.875,44.63,0.014,377.7,0.3398889,13.42
6/17/19 16:45,22,13.18,31.51,81.1,96.3,0,0.716,10.87,0.009,167.4,0.1506793,13.18
6/17/19 17:00,23,13.24,30.47,80.4,92.9,0,1.15,228.5,0.023,180.3,0.1622563,13.24
6/17/19 17:15,24,13.21,30,80.3,95.7,0,1.107,65.12,0.019,150.7,0.1356294,13.21
6/17/19 17:30,25,13.16,29.68,79.36,96.8,0,0.91,64.09,0.024,142.2,0.1279428,13.16
6/17/19 17:45,26,13.04,29.2,78.8,97.2,0,1.331,59.58,0.026,68.44,0.06159285,13.04
6/17/19 18:00,27,12.92,28.31,78.03,98.9,0,1.451,50.99,0.034,17.54,0.01578609,12.92
6/17/19 18:15,28,12.88,27.4,77.38,100,0,1.546,58.7,0.025,5.521,0.00496906,12.88
6/17/19 18:30,29,12.86,26.67,77.29,99.9,0,1.443,52.21,0.024,0.498,0.0004482508,12.86
6/17/19 18:45,30,12.85,26.24,77.69,99.9,0,1.463,67.27,0.028,0.007,6.33E-06,12.84
6/17/19 19:00,31,12.84,26.04,77.05,100,0,1.544,59.31,0.03,0.01,9.33E-06,12.83
6/17/19 19:15,32,12.83,25.89,77.08,100,0.07,1.133,50.46,0.021,0.005,4.72E-06,12.83
6/17/19 19:30,33,12.82,25.75,77.21,100,0,0.809,61.35,0.031,0.011,9.76E-06,12.82
6/17/19 19:45,34,12.81,25.74,77.34,100,0,1.455,65.46,0.033,0.001,1.29E-06,12.81
6/17/19 20:00,35,12.8,25.74,77.26,100,0,1.588,54.13,0.03,0.009,8.48E-06,12.8
6/17/19 20:15,36,12.8,25.71,77.35,100,0,1.045,47.96,0.025,0.007,6.01E-06,12.8
6/17/19 20:30,37,12.8,25.61,77.19,100,0,1.252,64.97,0.028,0.004,3.43E-06,12.79
6/17/19 20:45,38,12.79,25.54,77.08,100,0,1.572,63.26,0.026,0.003,2.79E-06,12.79
6/17/19 21:00,39,12.79,25.44,77.07,100,0,2.017,54.74,0.029,0.003,2.79E-06,12.78
6/17/19 21:15,40,12.78,25.39,77.12,100,0,1.857,54.79,0.027,0.01,8.69E-06,12.78
6/17/19 21:30,41,12.78,25.37,77.28,99.9,0,1.645,45.04,0.026,0.008,7.62E-06,12.77
6/17/19 21:45,42,12.77,25.36,77.44,99.6,0,1.475,42,0.021,0.004,3.65E-06,12.77
6/17/19 22:00,43,12.77,25.25,77.18,100,0,1.691,50.23,0.027,0.01,8.80E-06,12.77
6/17/19 22:15,44,12.76,25.15,77.12,99,0,1.654,52.69,0.026,0.006,5.47E-06,12.76
6/17/19 22:30,45,12.76,25.07,77.22,97.5,0,1.432,33.04,0.032,0.003,2.68E-06,12.76
6/17/19 22:45,46,12.75,25,77.46,96.4,0,1.387,48.95,0.017,0.008,7.19E-06,12.75
6/17/19 23:00,47,12.75,24.93,77.45,97.3,0,1.963,43.07,0.023,0.002,1.82E-06,12.75
6/17/19 23:15,48,12.74,24.89,77.07,98.1,0,1.312,66.11,0.025,0.008,6.97E-06,12.74
6/17/19 23:30,49,12.74,24.78,76.78,97.6,0,1.499,68.92,0.03,0.004,3.33E-06,12.74
6/17/19 23:45,50,12.73,24.67,76.92,96.9,0,1.855,42.58,0.022,0.01,9.33E-06,12.73
6/18/19 0:00,51,12.73,24.63,76.87,98.5,0,1.316,48.84,0.023,0.007,6.65E-06,12.73
6/18/19 0:15,52,12.73,24.72,77.17,98.5,0,1.309,53.92,0.025,0.004,3.86E-06,12.72
6/18/19 0:30,53,12.72,24.74,77.25,98.1,0,1.101,51.56,0.018,0.01,8.69E-06,12.72
6/18/19 0:45,54,12.72,24.74,76.87,98.7,0,0.943,49.28,0.02,0.005,4.40E-06,12.71
6/18/19 1:00,55,12.71,24.73,76.76,98.9,0,1.152,46.83,0.021,0.007,6.33E-06,12.71
6/18/19 1:15,56,12.71,24.71,76.89,99.1,0,1.35,69.45,0.027,0.007,6.33E-06,12.7
6/18/19 1:30,57,12.7,24.89,77.12,99.7,0,1.093,59.95,0.022,0.007,6.01E-06,12.7
6/18/19 1:45,58,12.7,24.96,77.29,97.7,0,1.251,68.28,0.018,0.014,1.24E-05,12.69
6/18/19 2:00,59,12.69,24.96,77.2,98.7,0,1.119,30.55,0.014,0.009,7.83E-06,12.69
6/18/19 2:15,60,12.69,24.89,76.87,99.1,0,1.091,53.23,0.024,0.008,7.51E-06,12.69
6/18/19 2:30,61,12.68,24.76,76.68,99.8,0,0.943,68.7,0.03,0.004,3.33E-06,12.68
6/18/19 2:45,62,12.68,24.81,77.21,98.3,0,1.607,48.82,0.021,0.005,4.29E-06,12.68
6/18/19 3:00,63,12.68,24.82,76.96,99.6,0,1.455,59.48,0.026,0.007,6.44E-06,12.67
6/18/19 3:15,64,12.67,24.78,76.84,99.8,0,1.354,63.57,0.026,0.007,6.33E-06,12.67
6/18/19 3:30,65,12.67,24.85,77.15,98.5,0,0.859,60.11,0.019,0.003,3.11E-06,12.66
6/18/19 3:45,66,12.66,24.84,77.05,99.4,0,0.816,54.58,0.019,0.005,4.94E-06,12.66
